0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259
0.0,0.4724772,0.0,0.6851592,0.0,0.31375223,0.0,0.86089194,0.0,0.0,0.0,0.36690304,0.0,0.04287938,0.0,0.0,0.36183596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71586573,0.06329469,0.31755224,0.56345665,0.0,0.0,0.0,0.0,0.2903292,0.0,0.10797547,0.0,0.3939715,0.0,0.18511853,0.0,0.0,0.0,0.37510362,0.0,0.19719237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47129858,0.0,0.0,0.8455641,0.35001224,0.0,0.0,0.0,0.0,0.4071701,0.0,0.48453546,0.0,0.0,0.23818949,0.0,0.0,0.018512316,0.8304186,0.0,0.7526517,0.01490642,0.0,0.0,0.46236244,0.0,0.0,0.44021848,0.0,0.27908552,0.5111196,0.0,0.25007465,0.065138735,0.64837587,0.0,0.0,0.0,0.36934564,0.0,0.40810195,0.40453696,0.0,0.0,0.0,0.0,0.8553404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1641481,0.0,0.0,0.0,0.45789832,0.21278913,0.0,0.0,0.0,0.68194395,0.0,0.587224,0.0,0.98600715,0.38147676,0.0,0.0,0.0,0.0,0.6456443,0.6547721,0.0,0.20597538,0.18681814,0.35299218,0.0,0.0,0.0,0.3788833,0.20922604,0.0,0.008166041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951127,0.0,0.0,0.19897123,0.34378195,0.0,0.046020776,0.0,0.0,0.0,0.006754648,0.4090315,0.0,0.0,0.0,0.0,0.0,0.3209259,0.0,0.24413438,0.0,0.0,0.0,0.0,0.0,0.0,0.24427848,0.45659468,0.57379234,0.0,0.0,0.0,0.0,0.08757463,0.0,0.37816215,0.0,0.5754668,0.41361484,0.17858207,0.0,0.021640595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77125055,0.0,0.0,0.0,0.6216759,0.25065508,0.0,0.0,0.0,0.0,0.13441592,0.0,0.0,0.45160303,0.0,0.54936314,0.0,0.0,0.0,0.0,0.0034388714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19793521,0.0,0.0,0.41888642,0.4286899,0.0,0.0,0.0,0.44324392,0.0,0.0,0.0,0.29274347,0.0,0.0,0.0,0.0,0.0,0.24896432,0.0,0.0,0.48328888
0.0,0.3958099,0.0,0.51963687,0.0,0.23513108,0.0,0.66252095,0.0,0.0,0.0,0.3104356,0.0,0.025497735,0.0,0.0,0.28151914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5536165,0.025679272,0.25264183,0.41160503,0.0,0.0,0.0,0.0,0.22347952,0.0,0.09082997,0.0,0.29822412,0.0,0.13862969,0.0,0.0,0.0,0.2872467,0.0,0.15298343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36237243,0.0,0.0,0.6469394,0.2860232,0.0,0.0,0.0,0.0,0.34265575,0.0,0.37365827,0.0,0.0,0.18139867,0.0,0.01091709,0.0077839848,0.6481759,0.0,0.5744643,0.02118974,0.0,0.0,0.33465698,0.0,0.0,0.32990944,0.0,0.2514211,0.38291535,0.0,0.1761255,0.07066998,0.47600046,0.0,0.0,0.0,0.2767234,0.0,0.32408568,0.31878868,0.0,0.0,0.0,0.0,0.6571381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14387779,0.0,0.0,0.0,0.38325047,0.16121916,0.0,0.0,0.0,0.50834334,0.0,0.4297827,0.0,0.7538929,0.28396526,0.0,0.0,0.0,0.0,0.47411585,0.4654131,0.0,0.15512246,0.15646636,0.29885724,0.0,0.0,0.0,0.29140636,0.15526895,0.0,0.0052919425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056085084,0.0,0.0,0.16874978,0.26908973,0.0,0.01346769,0.0,0.0,0.0,0.023566905,0.32316965,0.0,0.0,0.0,0.0,0.0,0.23117797,0.0,0.16836233,0.0,0.0,0.0,0.0,0.0,0.0,0.14472258,0.33756417,0.44889268,0.0,0.0,0.0,0.0,0.05387022,0.0,0.30978304,0.0,0.42659968,0.32770273,0.15050258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60290724,0.0,0.0,0.0,0.45868096,0.17441018,0.0,0.0,0.0,0.0,0.10846355,0.0,0.0,0.33465728,0.0,0.407102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18137921,0.0,0.0,0.3428748,0.33200467,0.0,0.0,0.0,0.35715723,0.0,0.0,0.0,0.23749961,0.0,0.0,0.0,0.0,0.0,0.20177671,0.0,0.0,0.3839946
0.0,0.0,0.0,0.0,0.009333901,0.0,0.0,0.0,0.1524961,0.71003914,0.0,0.0,0.3597056,0.0,0.0,0.0,0.0,0.61637163,0.39924583,0.38926107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37129226,0.56300795,0.0,0.0,0.33883375,0.0,0.43685028,0.0,0.0,0.0,0.23865941,0.09106811,0.6730507,0.0,0.35970575,0.0,0.0,0.0,0.0,0.09373144,0.21882704,0.74007493,0.0,0.19279628,0.0,0.28130344,0.63351595,0.0,0.0,0.0,0.26271456,0.46363303,0.019802883,0.0,0.5067297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015608729,0.33720785,0.49328083,0.0,0.20520766,0.0,0.0,0.47169265,0.0,0.0,0.39268067,0.0,0.0,0.0,0.0,0.21567063,0.0,0.0,0.0,0.0,0.0,0.0,0.23985283,0.0,0.0,0.0,0.0,0.0,0.48841062,0.0,0.0,0.0,0.2119221,0.4101317,0.0,0.5019459,0.5112208,0.0,0.0,0.0,0.43180853,0.0,0.21820462,0.0,0.0,0.0,0.36104432,0.0,0.0,0.58700967,0.5176132,0.52898365,0.45949188,0.0,0.0,0.1060065,0.0,0.0,0.0,0.0,0.0,0.46352437,0.0,0.0,0.0,0.0,0.33014017,0.0,0.0,0.45470598,0.14571011,0.66142297,0.33110029,0.05604251,0.5035505,0.0,0.43811703,0.57806575,0.0,0.32426658,0.0,0.38062555,0.25819558,0.0,0.22290504,0.05263654,0.0,0.0,0.0,0.0,0.002938616,0.36208454,0.4790631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18739787,0.42696562,0.04895674,0.088684,0.0,0.0,0.0,0.43345958,0.3458023,0.37222672,0.0,0.0,0.7355969,0.0,0.25154966,0.0,0.0,0.0,0.0,0.0,0.4152275,0.0,0.0,0.0,0.24022268,0.0,0.1207001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5239487,0.34016803,0.0,0.26686153,0.52233005,0.0,0.0,0.0,0.25555268,0.41505983,0.0,0.3512396,0.0,0.5715078,0.3867273,0.0,0.52424073,0.5858565,0.25155857,0.27745244,0.0,0.0,0.0,0.41406494,0.0,0.07967693,0.35483795,0.0,0.0,0.0,0.25137332,0.5946138,0.0,0.0,0.5816369,0.39364234,0.0,0.0,0.0,0.5047779,0.39222533,0.0,0.0,0.0,0.26360157,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08680639,0.48377737,0.0,0.0,0.23329985,0.0,0.0,0.0,0.0,0.41082639,0.26723292,0.225763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25126982,0.37856534,0.0,0.0,0.22628634,0.0,0.28323781,0.0,0.0,0.0,0.16872068,0.0476482,0.4541061,0.0,0.23330905,0.0,0.0,0.0,0.0,0.07357527,0.14958146,0.49633002,0.0,0.116111994,0.0,0.1888685,0.41344824,0.0,0.0,0.0,0.19089036,0.29928434,0.0,0.0,0.34057176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007044457,0.22654262,0.32332137,0.0,0.122456215,0.0,0.0,0.30928078,0.0,0.0,0.25209665,0.0,0.0,0.0,0.0,0.14950083,0.0,0.0,0.0,0.0,0.0,0.0,0.17048587,0.0,0.0,0.0,0.0,0.0,0.3302187,0.0,0.0,0.0,0.13360816,0.26782376,0.0,0.33861515,0.33563855,0.0,0.0,0.0,0.2868445,0.0,0.13510607,0.0,0.0,0.0,0.2466771,0.0,0.0,0.39920312,0.35581207,0.34503144,0.31089407,0.0,0.0,0.06550828,0.0,0.0,0.0,0.0,0.0,0.31283197,0.0,0.0042382954,0.0,0.0,0.21623202,0.0,0.0,0.30252773,0.09192954,0.44412386,0.21722953,0.043371312,0.33141226,0.0,0.3035714,0.39677718,0.0,0.222323,0.0,0.25115082,0.17621471,0.0,0.15651593,0.023127843,0.0,0.0,0.0,0.0,0.0,0.24459492,0.31847674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12564078,0.2695063,0.025835484,0.046616834,0.0,0.0,0.0,0.28266963,0.23092943,0.25665697,0.0,0.0,0.48729214,0.0,0.16638881,0.0,0.0,0.0,0.0,0.0,0.2750357,0.0,0.0,0.0,0.14590444,0.0,0.07304564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35317785,0.23126678,0.0,0.17011009,0.36249173,0.0,0.0,0.0,0.15540746,0.2751433,0.0,0.25083745,0.0,0.37653786,0.25322244,0.0,0.3605208,0.38457635,0.17993048,0.17699039,0.0,0.0,0.0,0.2741645,0.0,0.041037027,0.22640987,0.0,0.0,0.0,0.17893817,0.3917461,0.0,0.0,0.39853045,0.24869922,0.0,0.0,0.0,0.34163868,0.26382434,0.0,0.0,0.005107104,0.16928391,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07205492,0.47923303,0.0,0.0,0.23095718,0.0,0.0,0.0,0.0,0.40013966,0.26601958,0.20582029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24994303,0.37536848,0.0,0.0,0.23025051,0.0,0.2800199,0.0,0.0,0.0,0.17209205,0.040996667,0.45397025,0.0,0.22627875,0.0,0.0,0.0,0.0,0.07453011,0.15226576,0.48400855,0.0,0.11511798,0.0,0.18384908,0.3952585,0.0,0.0,0.0,0.18924652,0.2879419,0.0,0.0,0.34149456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013894933,0.21878065,0.31829673,0.0,0.11420852,0.0,0.0,0.29952276,0.0,0.0,0.25208387,0.0,0.0,0.0,0.0,0.14872682,0.0,0.0,0.0,0.0,0.0,0.0,0.17557167,0.0,0.0,0.0,0.0,0.0,0.3275959,0.0,0.0,0.0,0.13729516,0.2653055,0.0,0.3314867,0.3277731,0.0,0.0,0.0,0.28466704,0.0,0.13269229,0.0,0.0,0.0,0.2410282,0.0,0.0,0.3963093,0.35535374,0.3394722,0.30404836,0.0,0.0,0.06306402,0.0,0.0,0.0,0.0,0.0,0.31026232,0.0,0.008479282,0.0,0.0,0.20530863,0.0,0.0,0.30003443,0.10113755,0.4395767,0.2110819,0.04204232,0.31519583,0.0,0.3034401,0.40367877,0.0,0.2143411,0.0,0.24553035,0.17280479,0.010330835,0.1569278,0.015535066,0.0,0.0,0.0,0.0,0.0,0.24206728,0.32106176,0.0029008798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12732993,0.26193464,0.027554173,0.042619117,0.0,0.0,0.0,0.27949414,0.22190724,0.25091496,0.0,0.0,0.47933346,0.0,0.1627574,0.0,0.0,0.0,0.0,0.0,0.27403134,0.0,0.0,0.0,0.13476506,0.0,0.06800144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485365,0.2305031,0.0,0.16480656,0.36893582,0.0,0.0,0.0,0.13800453,0.26066226,0.0,0.25539592,0.0,0.3755554,0.24133374,0.0,0.35905066,0.3730174,0.18233822,0.17457213,0.0,0.0,0.0,0.26063344,0.0,0.0339912,0.21761794,0.0,0.0,0.0,0.18299629,0.37992817,0.0,0.0,0.3970265,0.24542663,0.0,0.0,0.0,0.34669828,0.26168868,0.0,0.0,0.01480234,0.15907308,0.0
0.0,0.0,0.0,0.0,0.008437375,0.0,0.0,0.0,0.111818925,0.73531854,0.0,0.0,0.38821906,0.0,0.0,0.0,0.0,0.6193993,0.41938227,0.3547957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39800224,0.5874109,0.0,0.0,0.3747654,0.0,0.45118695,0.0,0.0,0.0,0.25694427,0.06895086,0.71199745,0.0,0.35073635,0.0,0.0,0.0,0.0,0.096008435,0.22924906,0.73201764,0.0,0.19898638,0.0,0.28107813,0.6174324,0.0,0.0,0.0,0.2670178,0.452487,0.0,0.0,0.5377097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03229638,0.33811083,0.50479245,0.0,0.19105184,0.0,0.0,0.46993896,0.0,0.0,0.41602644,0.0,0.0,0.0,0.0,0.22172503,0.0,0.0,0.0,0.0,0.0,0.0,0.25711834,0.0,0.0,0.0,0.0,0.0,0.51036,0.0,0.0,0.0,0.23422329,0.4332431,0.0,0.5048818,0.5133102,0.0,0.0,0.0,0.45233166,0.0,0.22148257,0.0,0.0,0.0,0.3711427,0.0,0.0,0.60358936,0.54754335,0.5322473,0.4558253,0.0,0.0,0.09969426,0.0,0.0,0.0,0.0,0.0,0.48301545,0.0,0.0,0.0,0.0,0.3100012,0.0,0.0,0.4742652,0.18650725,0.6799937,0.32767624,0.04947973,0.48282337,0.0,0.45774388,0.62375146,0.0,0.30386898,0.0,0.38068774,0.2573087,0.030954212,0.23519647,0.032533064,0.0,0.0,0.0,0.0,0.0,0.37314215,0.50510997,0.02203641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20419149,0.42671293,0.056513812,0.086616315,0.0,0.0,0.0,0.44683525,0.32847807,0.37173143,0.0,0.0,0.7559966,0.0,0.25723282,0.0,0.0,0.0,0.0,0.0,0.428058,0.0,0.0,0.0,0.21001595,0.0,0.11076815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53349847,0.3476171,0.0,0.2626231,0.5711669,0.0,0.0,0.0,0.20912603,0.38435143,0.0,0.38181862,0.0,0.6026823,0.37456128,0.0,0.54342735,0.5761854,0.27236208,0.28808382,0.0,0.0,0.0,0.4025831,0.0,0.06173038,0.33877835,0.0,0.0,0.0,0.2772996,0.59531146,0.0,0.0,0.6109955,0.40622336,0.0,0.0,0.0,0.54344815,0.4075708,0.0,0.0,0.012478555,0.24806917,0.0
0.0,0.19659914,0.0,0.23215383,0.0,0.09629484,0.0,0.28492904,0.0,0.0,0.0,0.1377333,0.0,0.0,0.0,0.0,0.14052585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25476614,0.0,0.11901162,0.16065204,0.0,0.0,0.0,0.0,0.10968107,0.0,0.029356785,0.0,0.141449,0.0,0.05579559,0.0,0.0,0.0,0.1253327,0.0,0.07123096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17521726,0.0,0.0,0.3027917,0.14085747,0.0,0.0,0.0,0.0,0.17750357,0.0,0.1679999,0.0,0.0,0.0755072,0.0,0.012235986,0.0,0.28549954,0.0,0.26454872,0.0065202448,0.0,0.0,0.14313965,0.0,0.0,0.13537233,0.0,0.12598674,0.17329265,0.0,0.05113881,0.030874908,0.18885121,0.0,0.0,0.0,0.11442226,0.0,0.15393008,0.15181252,0.0,0.0,0.0,0.0,0.31173393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483047,0.0,0.0,0.0,0.20579436,0.052438576,0.0,0.0,0.0,0.22534098,0.0,0.18103927,0.0,0.3496882,0.1147261,0.0,0.0,0.0,0.0,0.20274997,0.18138234,0.0,0.04416804,0.083918974,0.13918817,0.0,0.0,0.0,0.12557338,0.08573254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017010938,0.0,0.0,0.08187226,0.10780217,0.0,0.0,0.0,0.0,0.0,0.02272614,0.16146423,0.0,0.0,0.0,0.0,0.0,0.07321431,0.0,0.05518574,0.0,0.0,0.0,0.0,0.0,0.0,0.037839457,0.13236746,0.21476293,0.0,0.0,0.0,0.0,0.0,0.0,0.15321435,0.0,0.1731093,0.16234685,0.062215388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867657,0.0,0.0,0.0,0.2044856,0.06963312,0.0,0.0,0.0,0.0,0.04382695,0.0,0.0,0.1363643,0.0,0.16662908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099504456,0.0,0.0,0.1688845,0.1530847,0.0,0.0,0.0,0.16997938,0.0,0.0,0.0,0.109208964,0.0,0.0,0.0,0.0,0.0,0.09255838,0.0,0.0,0.18650469
0.0,0.2911574,0.0,0.4088506,0.0,0.16880482,0.0,0.49833983,0.0,0.0,0.0,0.21269734,0.0,0.0072633387,0.0,0.0,0.2156779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41961938,0.034457516,0.19545221,0.32106584,0.0,0.0,0.0,0.0,0.18128358,0.0,0.03787348,0.0,0.2263697,0.0,0.09483128,0.0,0.0,0.0,0.21107715,0.0,0.111730196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26705885,0.0,0.0,0.491982,0.21725515,0.0,0.0,0.0,0.0,0.2597525,0.0,0.28617594,0.0,0.0,0.12513328,0.0,0.0,0.022289079,0.469835,0.0,0.43788618,0.009877712,0.0,0.0,0.2629012,0.0,0.0,0.23917775,0.0,0.18584387,0.29980817,0.0,0.13123393,0.022135463,0.34294665,0.0,0.0,0.0,0.1926647,0.0,0.24559078,0.2385661,0.0,0.0,0.0,0.0,0.50071555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07268359,0.0,0.0,0.0,0.29692912,0.111966364,0.0,0.0,0.0,0.3785462,0.0,0.3353074,0.0,0.56735986,0.20820934,0.0,0.0,0.0,0.0,0.35124788,0.35519412,0.0,0.09680999,0.11565882,0.23469718,0.0,0.0,0.0,0.22510746,0.115141414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040838003,0.0,0.0,0.12907778,0.19258764,0.0,0.008763535,0.0,0.0,0.0,0.0033426043,0.2430695,0.0,0.0,0.0,0.0,0.0,0.1601568,0.0,0.12707448,0.0,0.0,0.0,0.0,0.0,0.0,0.107809335,0.25597772,0.33325207,0.0,0.0,0.0,0.0,0.03312801,0.0,0.23839885,0.0,0.31851205,0.2562652,0.10416614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44907343,0.0,0.0,0.0,0.35317934,0.15146945,0.0,0.0,0.0,0.0,0.07873097,0.0,0.0,0.24668527,0.0,0.30744162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178962,0.0,0.0,0.26870984,0.25345042,0.0,0.0,0.0,0.24850902,0.0,0.0,0.0,0.1754783,0.0,0.0,0.0,0.0,0.0,0.14417087,0.0,0.0,0.29705054
0.0,0.34027222,0.0,0.49404523,0.0,0.21067546,0.0,0.60615,0.0,0.0,0.0,0.25325775,0.0,0.020663884,0.0,0.0,0.26608035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50468284,0.049442757,0.23538683,0.4031546,0.0,0.0,0.0,0.0,0.22181706,0.0,0.049932685,0.0,0.2766795,0.0,0.11827019,0.0,0.0,0.0,0.25903714,0.0,0.13367406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32957968,0.0,0.0,0.59220666,0.25486788,0.0,0.0,0.0,0.0,0.30499184,0.0,0.34306353,0.0,0.0,0.15972032,0.0,0.0,0.029098962,0.5782058,0.0,0.52842265,0.0054511316,0.0,0.0,0.3295978,0.0,0.0,0.2996419,0.0,0.21318874,0.37128845,0.0,0.170564,0.021983303,0.43097115,0.0,0.0,0.0,0.24136744,0.0,0.29698214,0.28320098,0.0,0.0,0.0,0.0,0.60617805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09208071,0.0,0.0,0.0,0.34313393,0.1421435,0.0,0.0,0.0,0.47161886,0.0,0.4125976,0.0,0.6927463,0.26197952,0.0,0.0,0.0,0.0,0.43894657,0.45368332,0.0,0.117029876,0.13560142,0.26950273,0.0,0.0,0.0,0.27466136,0.14276038,0.0,0.005601827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05607279,0.0,0.0,0.14790615,0.23663048,0.0,0.02315371,0.0,0.0,0.0,0.0,0.2879468,0.0,0.0,0.0,0.0,0.0,0.20794287,0.0,0.16620427,0.0,0.0,0.0,0.0,0.0,0.0,0.14792462,0.31516874,0.40285915,0.0,0.0,0.0,0.0,0.048189145,0.0,0.29236734,0.0,0.394853,0.30811602,0.12427981,0.0,0.00049212296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5425573,0.0,0.0,0.0,0.43724796,0.17923093,0.0,0.0,0.0,0.0,0.09937234,0.0,0.0,0.30713075,0.0,0.38190535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13393871,0.0,0.0,0.31838384,0.31168726,0.0,0.0,0.0,0.29253405,0.0,0.0,0.0,0.21089454,0.0,0.0,0.0,0.0,0.0,0.16956145,0.0,0.0,0.35411277
0.0,0.0,0.0,0.0,0.018612694,0.0,0.0,0.0,0.051744793,0.5955448,0.0,0.0,0.30581355,0.0,0.0,0.0,0.0,0.49735188,0.34151044,0.25211325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33429548,0.48038855,0.024718523,0.0,0.30732515,0.0,0.36706737,0.0,0.0,0.0,0.21635276,0.04310422,0.5829975,0.0,0.27321038,0.0,0.0,0.0,0.0,0.0769775,0.19127288,0.57197005,0.0,0.16108517,0.0,0.2194263,0.46611196,0.0,0.0,0.0,0.21858744,0.34026214,0.0,0.0,0.4461788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029245054,0.25918102,0.40865314,0.0,0.13410223,0.0,0.0,0.3682963,0.0,0.0,0.34462976,0.0,0.0,0.0,0.0,0.17505382,0.0,0.0,0.0,0.0,0.0,0.0,0.2204767,0.0,0.0,0.0,0.0,0.0,0.41362906,0.0,0.0,0.0,0.19478913,0.3487636,0.0,0.40665653,0.40963683,0.0,0.0,0.0,0.36864161,0.0,0.17184316,0.0,0.0,0.0,0.29789853,0.0,0.0,0.48553753,0.45204872,0.4238115,0.37011188,0.0,0.0,0.06925529,0.0,0.0,0.0,0.0,0.0,0.39150813,0.0,0.012948755,0.0,0.0,0.22902128,0.0,0.0,0.390553,0.1601995,0.5469243,0.25809473,0.04250428,0.3607002,0.0,0.3834136,0.5276035,0.0,0.22672433,0.0,0.29553318,0.20232382,0.04633474,0.20069298,0.015840221,0.0,0.0,0.0,0.0,0.0,0.30478054,0.41640428,0.034857325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17435254,0.3337334,0.050909154,0.06442129,0.0,0.0,0.0,0.36646405,0.23796292,0.29515994,0.0,0.0,0.6173808,0.0,0.20660909,0.0,0.0,0.0,0.0015272377,0.0,0.34530726,0.0,0.0,0.0,0.14382444,0.0,0.07983652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43433923,0.2746672,0.0,0.20501734,0.48723036,0.0,0.0,0.0,0.13264944,0.2783695,0.0,0.3229103,0.0,0.50040084,0.28450423,0.0,0.4514903,0.45597285,0.23127562,0.23161733,0.0,0.0,0.0,0.3137159,0.0,0.029640697,0.25782314,0.0,0.0,0.0,0.23892939,0.4681644,0.0,0.0,0.5036681,0.32404527,0.0,0.0,0.0,0.46087205,0.33088335,0.0,0.0,0.021483298,0.17598197,0.0
